絲	糸 絲
綑	捆 綑
經	経 𦀇 經
綠	緑 氯 綠
綢	紬 綢
綻	䘺 綻
綿	緜 綿
緒	緖 緒
線	綫 線
緣	縁 緣
緲	眇 緲
縐	皺 縐
縣	県 縣
縯	䌥 縯
縱	縦 縱
縲	纝 縲
繃	綳 繃
繅	繰 繅
繈	襁 繦 繈
繙	翻 繙
繞	遶 繞
繡	綉 繍 繡
繩	縄 䋲 繩
繪	絵 繪
繫	繋 繫
繼	継 繼
續	続 續
纏	纒 纏
纖	繊 纎 纖
纜	䌫 纜
缸	堈 罁 缸
缽	鉢 缽
罈	墰 壜 罈
罌	甖 罃 罌
罐	缶 礶 鑵 罐
罩	䈇 罩
罪	辠 罪
置	寘 置
罰	罸 罰
罵	駡 傌 罵
羈	羇 覊 覉 羈
羌	羗 羌
美	羙 美
羶	羴 羶
羹	羮 羹
翅	翄 翅
翠	翆 翠
翱	翶 翺 翱
翻	繙 飜 翻
耀	曜 燿 耀
考	攷 考
耋	耊 耋
耐	耏 耐
耑	專 耑
耕	畊 簡 耕
耗	秏 耗
耘	秐 耘
耙	鈀 耙
耨	鎒 耨
耽	躭 耽
耿	炔 炅 耿
聖	堊 聖
聯	聮 聫 聨 聯
聰	聦 聡 聰
職	軄 職
聽	聴 聼 聽
聿	肀 聿
肅	粛 肅
肇	肈 肇
肉	宍 肉
肢	胑 肢
肯	肻 肯
肱	厷 肱
胚	肧 胚
胝	郅 胝
胞	脬 胞
胭	臙 胭
胯	骻 胯
胸	胷 胸
胼	腁 胼
脅	脇 脅
脆	脃 脆
脈	衇 脈
脹	痮 脹
腦	脳 匘 腦
腫	尰 腫
腮	顋 腮
腸	膓 腸
腿	骽 腿
膘	臕 膘
膳	饍 膳
膾	鱠 膾
臏	髕 臏
臘	臈 臘
臚	髗 臚
臟	臓 臟
舀	抌 舀
興	㒷 興
舉	㪯 挙 擧 舉
舐	舓 舐
舔	餂 舔
航	桁 航
舵	柁 舵
舶	艊 舶
船	舩 船
艷	豓 豔 艶 艷
芒	杧 芒
芭	巴 芭
花	蘤 花
芻	蒭 𦷝 芻
苑	菀 苑
苟	茍 苟
茂	楙 茂
茅	茆 泖 茅
茆	茅 茆
茲	玆 茲
草	艸 草
荔	栛 茘 荔
莆	蒲 莆
莊	荘 莊
莓	苺 莓
菔	蔔 菔
菟	莵 菟
華	崋 華
菰	苽 菇 菰
菸	煙 菸
萌	萠 萌
萎	荽 萎
萬	卍 萬
萱	萲 萱
著	箸 著 着 著
葬	塟 葬
蒲	莆 蒲
蒸	烝 蒸
蓋	葢 蓋
蓑	簑 蓑
蔔	菔 蔔
蔚	嶎 蔚
蔭	䕃 廕 蔭
蔽	菝 芘 萆 蔽
蕊	蘂 蕋 蕊
蕩	盪 偒 蘯 蕩
薑	葁 薑
薯	藷 薯
薰	薫 薰
薺	萕 薺
藏	蔵 藏
藝	埶 蓺 秇 兿 藝
藤	籐 藤
藥	葯 薬 藥
藪	籔 藪
藷	薯 藷
蘇	蘓 囌 蘇
蘑	藦 蘑
蘗	檘 蘗
虎	乕 虎
虐	䖈 虐
虔	䖍 虔
處	䖏 処 處
虜	擄 虜 虜
虺	蝰 虺
蚊	蟁 蚉 螡 蚊
蚓	螾 蚓
蚤	䖣 蚤
蛄	蛌 蛄
蛋	疍 旦 蜑 蛋
蛔	蜖 蚘 蛕 蛔
蛙	鼃 蛙
蛛	鼄 蛛
蜂	蠭 蜂
蜘	鼅 蜘
蝦	鰕 蝦
蝶	蜨 蝶
螂	蜋 螂
融	螎 融
螢	蛍 螢
螳	螗 螳
螺	蠃 螺
蟀	蜶 蟀
蟆	蟇 蟆
蟒	蠎 蟒
蟹	蠏 蟹
蟻	螘 蟻
蠅	蝿 蠅
蠟	蝋 蠟
蠢	惷 蠢
蠹	蠧 蠹
街	亍 街
衛	衞 衛
衽	袵 衽
袋	帒 袋
袒	襢 袒
袖	褎 袖
裊	嬝 嫋 裊
裙	裠 帬 裙
裴	裵 裴
裸	躶 裸
複	復 複
褒	襃 褒
褓	緥 褓
褫	裭 褫
褲	絝 袴 綯 褲
褻	䙝 褺 褻
襄	㐮 襄
襖	澳 𥜌 襖
襟	衿 襟
襤	繿 襤
襪	韈 韤 襪
襯	儭 襯
覆	復 覆
規	槻 規
覓	覔 覓
覺	覚 覐 斍 覺
覽	覧 覽
觀	覌 観 觀
角	甪 角
觔	斤 筋 觔
解	觧 解
託	侂 託
訛	譌 訛
訥	吶 訥
訴	愬 訴
訶	呵 訶
証	證 証
詬	訽 詬
話	䛡 話
詻	咯 詻
誇	侉 誇
誘	䛻 誘
誚	譙 誚
誤	悞 誤
說	説 說
談	譚 談
諉	餵 諉
諧	龤 諧
諫	諌 諫
諶	訦 諶
謊	詤 謊
謠	謡 謠
謫	讁 謫
譁	嘩 譁
證	証 證
譎	憰 譎
譙	誚 譙
譚	談 譚
譜	諩 譜
警	儆 警
譯	訳 譯
讀	読 讀
變	変 變
讓	譲 讓
讚	讃 讚
谿	嵠 谿
豆	荳 豆
豎	竪 豎
豐	豊 豐
豔	豓 艷 艶 豔
豚	豘 豚
豫	預 予 豫
豳	邠 㟗 豳
豺	犲 豺
貉	狢 貉
貊	貘 貊
貌	皃 貌
貍	狸 貍
財	㒲 財
貳	弐 弍 二 貳
賅	侅 賌 賅
賊	戝 賊
賒	賖 賒
賢	贒 賢
賣	売 𧶠 賣
質	貭 質
賬	帳 賬
賴	頼 賴
賸	剩 賸
賺	贃 賺
贊	賛 贊
贓	贜 賍 贓
贗	偐 贋 贗
走	赱 走
趁	趂 趁
跡	蹟 跡
跳	趒 跳
跺	跥 跺
踏	蹋 踏
踵	歱 踵
踹	跴 踹
蹄	蹏 蹄
蹋	蹹 踏 蹋
蹟	跡 蹟
蹤	踨 蹤
蹴	蹵 蹴
蹺	蹻 屩 蹺
躁	趮 躁
躅	䠱 躅
躋	隮 躋
躍	趯 躍
躬	躳 躬
躲	躱 躲
軏	䡇 軏
軟	輭 軟
輒	輙 輒
輕	軽 輕
輛	輌 輛
輜	輺 輜
輝	煇 輝
輩	軰 輩
輿	轝 輿
轄	鎋 轄
轉	転 轉
轟	軣 轟
辣	辢 辣
辨	辧 辯 弁 辨
辭	辤 辭
辯	辨 弁 辯
農	莀 農
迂	遇 迂
迥	逈 迥
迨	逮 迨
迪	廸 迪
迫	廹 迫
迭	疊 迭
迴	廻 迴
迸	逬 迸
迺	廼 乃 迺
逃	迯 逃
逕	徑 逕
逖	逷 逖
逮	迨 逮
逼	偪 逼
逾	踰 逾
遇	迂 遇
遍	徧 遍
遑	徨 遑
達	逹 達
遜	愻 遜
遞	逓 遞
遠	逺 遠
遭	蹧 遭
遲	遅 遟 遲
邊	辺 邉 邊
邕	雍 𪪝 邕
邢	郉 邢
郎	郞 郎
鄉	郷 鄕 鄉
鄰	隣 鄰
鄹	郰 鄹
酉	丣 酉
酬	醻 詶 酧 酬
醇	䣩 醇
醉	酔 醉
醋	酢 醋
醬	醤 醬
醱	醗 醱
釀	醸 釀
釋	釈 釋
野	埜 野
釜	釡 釜
針	鍼 箴 針
鈞	銁 鈞
鉋	刨 鉋
鉗	鉆 箝 鉗
鉛	鈆 鉛
鉤	鈎 鉤
銜	㘅 銜
銲	釬 銲
銳	鋭 銳
鋤	耡 鉏 鋤
鋪	舗 舖 鋪
錄	録 錄
錘	鎚 錘
錙	鍿 錙
錢	銭 錢
鍊	錬 鍊
鍛	煅 鍛
鍬	鍫 鍬
鍰	鐶 鍰
鍾	鐘 鈡 鍾
鎔	熔 鎔
鎖	鏁 鎻 鎖
鎚	錘 鎚
鎮	鎭 鎮
鏜	鐺 鏜
鏟	剗 剷 鏟
鏢	鑣 鏢
鏽	鏥 銹 鏽
鐘	鍾 鐘
鐫	鑴 鋑 鐫
鐮	鎌 劆 鐮
鐵	銕 鐡 鉄 鐵
鐸	鈬 鐸
鐺	鏜 鐺
鑄	鋳 鑄
鑑	鑒 鑑
鑒	鑑 鑒
鑣	鏢 鑣
鑽	鑚 鉆 鑽
閉	閇 閉
閏	閠 閏
閑	閒 閑
閒	閑 間 閒
間	閒 間
閤	闔 閤
閱	閲 閱
閻	閆 閻
闊	濶 闊
闔	閤 闔
關	寡 関 闗 關
阡	仟 阡
阬	坑 阬
阱	穽 阱
陀	陁 陀
降	夅 降
陝	陜 陝
陡	阧 陡
陶	匋 陶
陷	陥 陷
陽	氜 昜 陽
隄	堤 隄
隋	陏 隋
隍	堭 隍
階	堦 階
隕	殞 磒 隕
險	礆 険 險
隱	乚 隠 隱
隸	隷 隸
雁	鳫 鴈 雁
集	亼 集
雍	邕 𪪝 雍
雛	鶵 雛
雜	雑 襍 雜
雞	鳮 鶏 鷄 雞
霍	癨 霍
霓	蜺 霓
